pid,run_ms,wait_ms,switches,cpu_share
1157,1464.322215,11758.669719,144294,0.11074061167917823
1160,1496.813589,3290.720894,9257,0.3126481061003357
1162,1591.533547,3155.49051,10019,0.33526974540040755
1161,1583.36622,3054.045522,9923,0.3414331761098129
1163,1548.626945,3057.331733,9721,0.3362225007351662
1159,1564.690776,2984.488492,9689,0.34395012458761604
1158,2779.197923,0.0,4823,1.0
17,117.177211,380.526859,28995,0.23543550889587864
339,293.623341,22.82414,3671,0.9278738452021364
933,28.139664,2.847999,313,0.9080924882912274
