ts_ns,pid,latency_ns
147869382918,17,67197
147869397023,43,673351
147869491147,962,948103
147869574523,960,0
147870638504,17,8251
147870647015,43,459961
147870745419,963,567217
147870793569,961,0
147871830121,43,432423
147871920465,962,532140
147871947693,961,0
147873248852,16,8251
147873256782,43,677321
147873343988,963,773409
147873390524,960,0
147874429271,43,426267
147874518894,962,524422
147874564918,959,0
147875686712,17,10346
147875698100,43,463300
147875809457,963,586185
147875855681,25,8280
147875970697,963,0
147875987007,961,0
147877161331,17,10516
147877173271,43,519158
147877332777,962,689561
147878238224,25,542707
147878337962,963,12421
147878381951,229,6386
147878612713,963,0
147878631701,962,0
147879430302,229,444162
147879469049,43,4361
147879555814,962,0
147879579483,960,0
147880828963,43,438638
147880931989,959,0
147881134792,961,0
147882423250,16,8020
147882430608,55,535038
147882452071,43,3378
147882589823,959,1137703
147883366601,43,458608
147883455311,959,0
147883520232,960,0
147884690747,229,437736
147884722466,963,5333
147884748470,43,4020
147884846744,963,0
147884854684,962,141481
147884874152,959,928424
147884952056,960,0
147886334627,43,534557
147886427317,963,636370
147886508007,959,1157322
147886570412,961,0
147887742436,43,482718
147888851688,963,491018
147888885212,25,5995
147889809957,11,919382
147889819029,963,0
147889833826,229,5333
147890005893,963,0
147890019065,11,4801
147890130241,963,0
147890859832,229,263464
147890891721,43,3218
147890975288,963,0
147890986065,959,4043835
147891084359,962,3832631
147892715159,16,15850
147892729254,43,726874
147892897932,229,0
147892919155,959,1385649
147893044055,961,0
147894530083,16,7810
147894537230,55,505123
147894559215,43,2797
147894698681,55,0
147894706992,959,1116672
147895439078,43,431450
147895523528,959,0
147895597502,960,0
147896760701,229,448583
147896782074,963,5634
147896806254,43,4250
147896898072,963,0
147896907786,959,903923
147896982091,962,0
147898380140,16,12391
147898393784,963,563428
147898441392,11,7017
147899733910,25,1285541
147899758501,963,0
147899782591,229,7830
147900055388,963,0
147901389589,16,15749
147901400556,229,536291
147901456725,43,4180
147901565746,25,1351264
147901588472,959,4210579
147901714064,960,0
147903044942,43,324465
147903373176,959,1110907
147903438799,963,0
147904480895,55,422338
147904508313,43,3017
147904646396,55,0
147904654205,959,908655
147905472256,43,449316
147905559642,959,0
147905616303,961,0
147906913793,229,433095
147906930414,959,939692
147906977922,960,0
147907274699,959,5985
147907303139,962,0
147908301597,16,10175
147908313206,959,573293
147908367491,963,0
147908738511,959,7859
147908779373,963,0
147909339583,959,224447
147909381247,960,0
147909678615,959,6086
147909708268,960,0
147910216389,959,208066
147910252398,962,0
147910566929,959,7759
147910604683,961,0
147911226857,959,274181
147911295527,962,0
147911607351,959,5905
147911638178,960,0
147912178689,961,0
147918358656,963,0
147918383417,229,5283
147920198131,16,14296
147920205800,43,12611
147920215644,963,0
147920221579,959,8250495
147920296595,962,0
147920629491,43,4822
147921157381,962,0
147922180631,229,0
147922232640,43,3168
147922319606,229,0
147922328327,960,0
147923554992,43,432153
147923645727,959,3059704
147923727570,962,0
147925295661,55,777740
147925323099,43,4631
147925465743,959,1400214
147926228236,43,418940
147926313808,959,0
147926364323,960,0
147927477977,229,432212
147927501125,963,5765
147927547249,43,4882
147927639448,963,0
147927647478,959,959060
147927706254,960,0
147928752681,963,256928
147928784710,25,7268
147929718558,11,927673
147929730547,963,0
147929767148,229,4551
147930767240,43,8381
147931159173,963,0
